country,synonym,synonym_type
cod,Congo Dem Rep,name
cod,Congo/Zaire,name
cod,Congolese,denonym
cod,Democratic Republic Of The Congo,name
cod,Democratic Republic of Congo,name
cod,Democratic Republic of the Congo,name
cog,"Congo, Republic of the",name
cog,"Congo, Republic of",name
cog,Congo (Republic of),name
cog,Congo - Brazzaville,name
cog,Congo Brazzaville,name
cog,Congo-Brz,name
cog,Congolese,denonym
cog,Republic of Congo,name
cog,Republic of the Congo,name
cok,Cook Is,name
col,Colombian,denonym
com,Comoran,denonym
com,Comores,name
com,Comorian,denonym
cpv,Cabo Verde,name
cpv,Cabo Verdean,denonym
cpv,Cape Verdean,denonym
crete,Cretan State,name
cri,Costa Rican,denonym
cub,Cuban,denonym
cxr,Christmas Island,denonym
cym,Caymanian,denonym
cyp,Cypriot,denonym
cze,Czech Rep,name
cze,Czech Republic,name
cze,Czech,denonym
cze,Czechia,name
deu,German,denonym
deu_east,German DR,name
deu_east,Germany East,name
dji,Djiboutian,denonym
dma,Dominican,denonym
dnk,Danish,denonym
dom,Dom.R.,name
dom,Dominican Rep,name
dom,Dominican Rep.,name
dom,Dominican Republic,name
dom,Dominican,denonym
dom,DominicanRep,name
dza,Algerian,denonym
ecu,Ecuadorian,denonym
egy,"Egypt, Arab Rep.",name
egy,Egyptian,denonym
eri,Eritrean,denonym
esh,Sahraouian,denonym
esh,Sahrawi Arab Democratic Republic,name
esh,Sahrawi,denonym
esh,Sahrawian,denonym
esp,Spanish,denonym
est,Estonian,denonym
eth,Ethiopian,denonym
fin,Finnish,denonym
fji,Fijian,denonym
flk,Malvinas,name
fra,France and territories,name
fra,French,denonym
fro,Faroe Islands,name
fsm,"Micronesia, Fed. Sts.",name
fsm,"Micronesia, Fed. Sts.",name
fsm,"Micronesia, Federated States of",name
fsm,Federated States of Micronesia,name
fsm,Micronesia (Fed. States of),name
fsm,Micronesia (Federated States of,name
fsm,Micronesia,name
fsm,Micronesian,denonym
gab,Gabonese,denonym
gbg,Channel Island,denonym
gbm,Manx,denonym
gbr,British,denonym
gbr,Northern Ireland,name
gbr,Scotland,name
gbr,U.K. of Great Britain and Northern Ireland,name
gbr,UK,denonym
gbr,UK,name
gbr,UKG,name
gbr,United Kingdom and Crown dependencies,name
gbr,United Kingdom of Great Britain and Northern Ireland,name
geo,Georgian,denonym
gha,Ghanaian,denonym
gib,Gibraltar,denonym
gin,Guinean,denonym
glp,Guadeloupe Island,name
glp,Guadeloupe,denonym
gmb,"Gambia, The",name
gmb,Gambia The,name
gmb,Gambian,denonym
gmb,The Gambia,name
gnb,Bissau-Guinean,denonym
gnb,Guinea Bissau,name
gnb,Guinea-Bissauan,denonym
gnb,GuineaBiss,name
gnq,Equa Guinea,name
gnq,Equatoguinean,denonym
gnq,Equatorial Guinean,denonym
grc,Greek,denonym
grc,Hellenic,denonym
grd,Grenadian,denonym
grl,Greenlandic,denonym
gtm,Guatemalan,denonym
guf,French Guianese,denonym
guf,Guyana (Fr.),name
gum,Guamanian,denonym
guy,Guyanese,denonym
hkg,"Hong Kong SAR, China",name
hkg,"Hong Kong, China (SAR)",name
hkg,Hong Kong SAR,name
hkg,Hong Kong,name
hkg,Hong Kongese,denonym
hkg,Hongkong,name
hnd,Honduran,denonym
hos,Vatican City State,name
hos,Vatican,denonym
hrv,Croatian,denonym
hti,Haitian,denonym
hun,Hungarian,denonym
hun,Magyar,denonym
idn,Indonesian,denonym
ind,Indian,denonym
iot,BIOT,denonym
irl,Irish,denonym
irn,"Iran, Islamic Rep. of",name
irn,"Iran, Islamic Rep.",name
irn,Iran (Islamic Rep. of),name
irn,Iranian,denonym
irn,Islamic Republic of Iran,name
irn,Persia,name
irn,Persian,denonym
irq,Iraqi,denonym
isl,Icelandic,denonym
isr,Israeli,denonym
ita,Italian,denonym
jam,Jamaican,denonym
java,"Java, Dutch East Indies",name
jey,Channel Island,denonym
jor,Jordanian,denonym
jpn,JAPAN (EXCLUDING THE RUYUKU ISLANDS),name
jpn,Japanese,denonym
kaz,Kazakh,denonym
kaz,Kazakhstani,denonym
ken,Kenyan,denonym
kgz,Kirghiz,denonym
kgz,Kirgiz,denonym
kgz,Kyrgyz Republic,name
kgz,Kyrgyz,denonym
kgz,Kyrgyz,name
kgz,Kyrgyzstan,name
kgz,Kyrgyzstani,denonym
khm,Cambodian,denonym
kir,I-Kiribati,denonym
kna,Saint Kitts & Nevis,name
kna,Saint Kitts and Nevis,name
kna,St Kitts and Nevis,name
kna,St. Kitts and Nevis,name
kor,"Korea, Rep. of",name
kor,"Korea, Rep.",name
kor,"Korea, South",name
kor,Korea (Rep. of),name
kor,Korea (Republic of),name
kor,Korea South,name
kor,South Korean,denonym
korea_union,Korea,name
korea_union,United Korea (former),name
korea_union,United Korea,name
kos,Kosovan,denonym
kos,Kosovar,denonym
kwt,Kuwaiti,denonym
lao,Lao P.D.R.,name
lao,Lao PDR,name
lao,Lao People's Dem.  Rep.,name
lao,Lao People’s Democratic Republic,name
lao,Lao,denonym
lao,Lao,name
lao,Laotian,denonym
lbn,Lebanese,denonym
lbr,Liberian,denonym
lby,Libyan Arab Jamahiriya,name
lby,Libyan,denonym
lca,Saint Lucia,name
lca,Saint Lucian,denonym
lca,St Lucia,name
lca,St. Lucia,name
lca,St.Lucia,name
lie,Liechtensteiner,denonym
lka,Sri Lankan,denonym
lso,Basotho,denonym
ltu,Lithuanian,denonym
lux,Luxembourg,denonym
lux,Luxembourgish,denonym
lva,Latvian,denonym
lva,Lettish,denonym
mac,"China, Macao SAR",name
mac,"Macao SAR, China",name
mac,MACAU SPECIAL ADMINISTRATIVE REGION OF CHINA,name
mac,Macanese,denonym
mac,Macao,name
mac,Macau,name
maf,St. Martin (French part),name
mar,Moroccan,denonym
mco,Monacan,denonym
mco,Monégasque,denonym
mda,"Moldova, Rep. of",name
mda,"Moldova, Republic of",name
mda,Moldova (Republic of),name
mda,Moldovan,denonym
mda,Republic of Moldova,name
mdg,Malagasy,denonym
mdv,Maldivian,denonym
mex,Mexican,denonym
mhl,Marshallese,denonym
mkd,"Macedonia, FYR",name
mkd,Macedonia,name
mkd,Macedonian,denonym
mkd,T.F.Y.R. Macedonia,name
mkd,TFYR Macedonia,name
mkd,The former Yugoslav Republic of Macedonia,name
mli,Malian,denonym
mli,Malinese,denonym
mlt,Maltese,denonym
mmr,Burma,name
mmr,Burmese,denonym
mmr,MYANMAR (FORMERLY BURMA),name
mmr,Myanmar [Burma],name
mmr,Myanmar/Burma,name
mne,Montenegrin,denonym
mng,Mongolian,denonym
mnp,Northern Marianan,denonym
moz,Mozambican,denonym
mrt,Mauritanian,denonym
msr,Montserratian,denonym
mtq,Martinican,denonym
mtq,Martiniquais,denonym
mus,Mauritian,denonym
mwi,Malawian,denonym
mys,Malaysian,denonym
myt,Mahoran,denonym
nam,Namibian,denonym
ncl,New Caledonian,denonym
ner,Nigerien,denonym
nfk,Norfolk Island,denonym
nga,Nigerian,denonym
ngokar,Artsakh,name
ngokar,Nagorno-Karabakh Republic,name
ngokar,Nagorno-Karabakh,name
ngokar,Republic of Artsakh,name
nic,Nicaraguan,denonym
niu,Niuean,denonym
nld,Dutch,denonym
nld,Netherlandic,denonym
nld,The Netherlands,name
nld_curacao,Curacao,name
nld_curacao,Curaçaoan,denonym
nor,Norwegian,denonym
npl,Nepalese,denonym
npl,Nepali,denonym
nru,Nauruan,denonym
nzl,New Zealand and territories,name
nzl,New Zealand,denonym
omn,Omani,denonym
pak,Pakistani,denonym
pan,Panamanian,denonym
pcn,Pitcairn Islands,name
per,Peruvian,denonym
phl,Filipino,denonym
phl,Philippine,denonym
plw,Palauan,denonym
png,Papua NG,name
png,Papua New Guinean,denonym
png,Papuan,denonym
pol,Polish,denonym
pri,Puerto Rican,denonym
prk,"Korea, Dem. People’s Rep.",name
prk,"Korea, Democratic Republic of",name
prk,"Korea, North",name
prk,Dem. People's Rep. of Korea,name
prk,Democratic People's Republic of Korea,name
prk,Korea North,name
prk,North Korean,denonym
prt,Portuguese,denonym
pry,Paraguayan,denonym
pse,OPT,name
pse,Occupied Palestinian Territory,name
pse,Palestinian Territory,name
pse,Palestinian territories,name
pse,Palestinian,denonym
pse,State of Palestine,name
pyf,French Polynesian,denonym
qat,Qatari,denonym
reu,Reunion,name
reu,Réunion,name
rou,Romanian,denonym
rus,Russian Federation,name
rus,Russian Federation,name
rus,Russian,denonym
rwa,Rwandan,denonym
sau,Saudi Arabian,denonym
sau,Saudi,denonym
sdn,Republic Of Sudan,name
sdn,Republic of Sudan,name
sdn,Sudanese,denonym
sen,Senegalese,denonym
sgero_a_ssandw,South Georgia,denonym
sgero_a_ssandw,South Sandwich Islands,denonym
sgp,Singapore,denonym
sgp,Singaporean,denonym
sjm,Svalbard and Jan Mayen,name
sjm,Svalbard,denonym
slb,Solomon Isl.,name
slb,Solomon Island,denonym
sle,Sierra Leonean,denonym
sle,SierraLeo,name
slv,Salvadoran,denonym
smr,Sammarinese,denonym
som,Somali,denonym
som_somland,Somalilander,denonym
sosset,South Ossetian,denonym
spm,Saint Pierre and Miquelon,name
srb,Serbian,denonym
ssd,South Sudan,name
ssd,South Sudanese,denonym
ssd,Sudan South,name
stbar,Saint Barthelemy,name
stbar,St. Barthelemy,name
stp,Santomean,denonym
stp,São Tomé and Principe,name
stp,São Tomé and Príncipe,name
sur,Surinamese,denonym
svk,Slovak Rep,name
svk,Slovak Rep.,name
svk,Slovak Republic,name
svk,Slovak,denonym
svk,Slovakia,name
svn,Slovene,denonym
svn,Slovenian,denonym
swe,Swedish,denonym
swz,Kingdom of Eswatini,name
swz,Swati,denonym
swz,Swazi,denonym
swz,Swaziland,name
syc,Seychellois,denonym
syr,Syrian Arab Republic,name
syr,Syrian,denonym
tca,Turks and Caicos Island,denonym
tca,Turks and Caicos,name
tcd,Chadian,denonym
tgo,Togolese,denonym
tha,Thai,denonym
tjk,Tajik,denonym
tjk,Tajikistani,denonym
tkl,Tokelauan,denonym
tkm,Turkmen,denonym
tls,"Timor, East",name
tls,Dem. Republic of Timor-Leste,name
tls,East Timor,name
tls,East Timorese,denonym
tls,Timor Leste,name
tls,Timorese,denonym
ton,Tongan,denonym
tto,Tobagonian,denonym
tto,Trinidad & Tobago,name
tto,Trinidad,name
tto,Trinidadian,denonym
tun,Tunisian,denonym
tur,Turkish,denonym
tuv,Tuvaluan,denonym
twn,"China, Taiwan Province of",name
twn,Republic of China (Taiwan),name
twn,Taiwan Province of China,name
twn,Taiwanese,denonym
tza,"Tanzania, U. Rep. of",name
tza,Tanzania (United Republic of),name
tza,Tanzanian,denonym
tza,United Republic of Tanzania,name
uga,Ugandan,denonym
ukr,Ukrainian,denonym
ury,Uruguayan,denonym
usa,American,denonym
usa,U.S.,denonym
usa,U.S.,name
usa,U.S.A.,name
usa,USA,name
usa,United States and territories,name
usa,United States,name
ussr,Soviet Union,name
ussr,Soviet,denonym
ussr,U.S.S.R.,name
uzb,Uzbek,denonym
uzb,Uzbekistani,denonym
vct,Saint Vincent and the Grenadines,name
vct,St Vincent & the Grenadines,name
vct,St Vincent,name
vct,St. Vincent and G.,name
vct,St. Vincent and the Grenadines,name
ven,"Venezuela, RB",name
ven,Venezuela (Bolivarian Republic of),name
ven,Venezuela (Bolivarian Republic of,name
ven,Venezuelan,denonym
viet_south,Vietnam South,name
vir,United States Virgin Islands,name
vnm,Viet Nam,name
vnm,Vietnamese,denonym
vut,Ni-Vanuatu,denonym
vut,Vanuatuan,denonym
wlf,Wallis and Futuna Islands,name
wlf,Wallis and Futuna,name
wsm,Samoa (Western),name
wsm,Samoan,denonym
yem,"Yemen, Rep.",name
yem,Yemen Republic,name
yem,Yemeni,denonym
yem_north,"Yemen, North",name
yem_north,North Yemen,name
yem_south,Yemen South,name
yug,Yugoslav SFR,name
zaf,South Africa Republic,name
zaf,South African,denonym
zmb,Zambian,denonym
zwe,Zimbabwean,denonym
