text 	 label 	 label_id 
Can I see Standing on the Edge of the Noise in the nearest cinema	SearchScreeningEvent	6
Please get me Stories from the English and Scottish Ballads show.	SearchCreativeWork	5
Play itunes and Vimeo music	PlayMusic	3
Add shweta mohan to my laundry playlist	AddToPlaylist	0
Tell me the weather forecast for Fort Yargo State Park	GetWeather	2
Play a song from the fourties by Deezer through Fakhar-e-alam.	PlayMusic	3
add Run Rudolph Run to my rockin' playlist	AddToPlaylist	0
Is The Country Doctor on the schedule at any theater near me?	SearchScreeningEvent	6
Add the song to my Calm Down playlist.	AddToPlaylist	0
Can i get a song from the eighties on Zvooq	PlayMusic	3
Please look up the Cultural depictions of Matthew Shepard TV series.	SearchCreativeWork	5
I want to hear the album Live In Munich by Laura Love.	PlayMusic	3
Can you please look up the game, The Islanders?	SearchCreativeWork	5
Can you find me the game, King of Raop?	SearchCreativeWork	5
Will it be colder in the Apache-Sitgreaves National Forest at 6 Pm .	GetWeather	2
I would like to give the current textbook a rating of three out of 6.	RateBook	4
Please find me the Dante's Peak painting.	SearchCreativeWork	5
Can you please find me the TV series titled The Second Deadly Sin?	SearchCreativeWork	5
Is A Man, a Woman, and a Bank showing in the nearest Neighborhood Cinema Group	SearchScreeningEvent	6
Book a reservation for seven people at a steakhouse in Kenya	BookRestaurant	1
Is there any way to see Tailspin Tommy in the Great Air Mystery	SearchScreeningEvent	6
I want to book a food truck in Albania for ten people.	BookRestaurant	1
Please find me The Purple Vigilantes book.	SearchCreativeWork	5
Play music from Lastfm.	PlayMusic	3
Add liebeslyrik to i love my 90's r&b	AddToPlaylist	0
Please play below the lion rock by stereo mike	PlayMusic	3
What is the humidity at my current position	GetWeather	2
Can you play it on Youtube?	PlayMusic	3
I wanna listen to Electroclash	PlayMusic	3
Please look up the book, The Wacken Carnage.	SearchCreativeWork	5
I want to see The Happy Thieves at Marcus Corporation, can you show me movie times	SearchScreeningEvent	6
Rate the current book 0 stars	RateBook	4
Tell me the weather for Oct. the 26th in Rosewood Heights.	GetWeather	2
Will it be sunny on March 1, 2026 in Forty Fort?	GetWeather	2
What are the movie schedules in the neighbourhood	SearchScreeningEvent	6
can you find Leadership in my library, please?	SearchCreativeWork	5
Let's hear something from Elena Risteska	PlayMusic	3
Show me movie schedule at Cobb Theatres	SearchScreeningEvent	6
Play some Rumba Africana.	PlayMusic	3
Please find me the Project Gotham Racing 2 TV series.	SearchCreativeWork	5
add Devil Pray to my party list	AddToPlaylist	0
Book me a lunch at Boreas for a party of 8	BookRestaurant	1
Add the song to the Metal playlist.	AddToPlaylist	0
Will it be chillier in Elko WI at 07:51 p.m.?	GetWeather	2
Book a reservation for 7 for a top-rated restaurant on July second, 2037 in Gardner, Indiana	BookRestaurant	1
I want to see Sympathy for the Devil	SearchScreeningEvent	6
when is Letters from a Porcupine showing at Alamo Drafthouse Cinema	SearchScreeningEvent	6
Need weather close-by where I am in state of MS	GetWeather	2
Book a reservation for seven people at a highly rated restaurant this month in Hawaii	BookRestaurant	1
What is the weather now in Grand Detour, UT	GetWeather	2
Will the weather be good at breakfast in Bay Harbor Islands	GetWeather	2
Rate this book 5 stars	RateBook	4
Show me whether Iceland will be colder than it was last april	GetWeather	2
The Execution of Justice only deserves 2 points	RateBook	4
Is The Skull playing at Loews Cineplex	SearchScreeningEvent	6
I'd like for this song to be added to the new waltz.	AddToPlaylist	0
add Ljubim te pesmama in my playlist Gold School	AddToPlaylist	0
need a table eighteen seconds from now at a restaurant serving muffuletta	BookRestaurant	1
Give the current novel 3 stars of 6	RateBook	4
Give The Open Society and Its Enemies 5 points.	RateBook	4
Give 5 out of 6 stars to Learning Perl	RateBook	4
book spot for eight at a bar that serves pastelaria	BookRestaurant	1
Give 4 stars to the current essay	RateBook	4
Give this saga a 5 out of 6 rating.	RateBook	4
Give this novel 5 stars	RateBook	4
 Add the Justin Furstenfeld song to the latin pop rising playlist.	AddToPlaylist	0
Can you make an addition to the Old Enough To Enjoy This playlist with Martin Barre?	AddToPlaylist	0
Book a reservation for the best restaurant not far from VI	BookRestaurant	1
I want to book a varenyky restaurant in Croatia.	BookRestaurant	1
Book a reservation for 9 people at the best osteria restaurant	BookRestaurant	1
